2018-07-08 00:15:11.484 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lee.component.SendMailTest], using SpringBootContextLoader
2018-07-08 00:15:11.546 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.lee.component.SendMailTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-08 00:15:11.552 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.lee.component.SendMailTest]: SendMailTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-08 00:15:11.996 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.lee.MailApplication for test class com.lee.component.SendMailTest
2018-07-08 00:15:12.324 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-08 00:15:12.375 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3943a2be, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@343570b7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@157853da, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71c3b41, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@236e3f4e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3cc1435c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6bf0219d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@dd0c991, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5f16132a]
2018-07-08 00:15:13.140 [main] INFO  com.lee.component.SendMailTest -Starting SendMailTest on leedeMacBook-Pro.local with PID 54150 (started by lee in /Users/lee/workspace/lee/mail)
2018-07-08 00:15:13.141 [main] INFO  com.lee.component.SendMailTest -The following profiles are active: dev
2018-07-08 00:15:13.171 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:15:13 CST 2018]; root of context hierarchy
2018-07-08 00:15:14.068 [main] INFO  com.lee.component.SendMailTest -Started SendMailTest in 1.579 seconds (JVM running for 4.288)
2018-07-08 00:15:15.799 [Thread-3] INFO  o.s.c.a.AnnotationConfigApplicationContext -Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:15:13 CST 2018]; root of context hierarchy
2018-07-08 00:17:23.488 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lee.component.SendMailTest], using SpringBootContextLoader
2018-07-08 00:17:23.522 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.lee.component.SendMailTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-08 00:17:23.526 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.lee.component.SendMailTest]: SendMailTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-08 00:17:23.890 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.lee.MailApplication for test class com.lee.component.SendMailTest
